Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Series A - Landytech,https://www.crunchbase.com/funding_round/landytech-series-a--4a83e0b5,"London, England, United Kingdom, Europe",Landytech,https://www.crunchbase.com/organization/landytech,Series A,6000000,USD,6000000,2021-11-10,"Adelie, Greenwood Way Capital",2,"Landytech offers software based investment reporting solutions to asset managers, family offices, and fiduciaries.","Software, Web Apps"
Seed Round - Simba Sleep,https://www.crunchbase.com/funding_round/simba-sleep-seed--62441685,"London, England, United Kingdom, Europe",Simba Sleep,https://www.crunchbase.com/organization/simba-sleep,Seed,,,,2016-03-01,"Angel Investment Network, Monte Carlo Capital, Squadron Venture Media",3,Simba Sleep is an e-commerce company that offers a variety of mattresses.,"CRM, Customer Service, E-Commerce, Mobile, Retail"
Series A - Teya,https://www.crunchbase.com/funding_round/saltpay-series-a--ec3f830e,"London, England, United Kingdom, Europe",Teya,https://www.crunchbase.com/organization/saltpay,Series A,70000000,USD,70000000,2020-01-10,"LTS Investments, Madrone Capital Partners, Ribbit Capital",3,"Teya builds tools for SMBs to unlock hassle-free payments, better business management, new and returning customers, all on fair terms.","Financial Services, FinTech, Information Technology"
Series A - Dropit Shopping,https://www.crunchbase.com/funding_round/dropit-shopping-series-a--1b78bbed,"London, England, United Kingdom, Europe",Dropit Shopping,https://www.crunchbase.com/organization/dropit-shopping,Series A,12500000,USD,12500000,2016-01-01,"Axentia, Sugarbee, Tiga Investments",3,"Dropit provides a digital handsfree shopping solution for malls and central shopping districts, delivering bags from store to door.","Brand Marketing, Lifestyle, Logistics, Marketing, Rental, Retail, Retail Technology, Shopping, Shopping Mall"
Series A - Envelop Risk,https://www.crunchbase.com/funding_round/envelop-risk-analytics-series-a--5bdd380f,"Bristol, Bristol, City of, United Kingdom, Europe",Envelop Risk,https://www.crunchbase.com/organization/envelop-risk-analytics,Series A,6000000,USD,6000000,2020-05-14,"Alpha Intelligence Capital, BlackPine, Capikris Foundation, Integra Partners, MS Amlin, Pascal Christian Weinberger, Victor Pancic",7,Envelop Risk is a global specialty cyber and emerging risk underwriting firm.,"Cyber Security, Information Technology"
Series A - Seldon,https://www.crunchbase.com/funding_round/seldon-series-a--2be87a13,"London, England, United Kingdom, Europe",Seldon,https://www.crunchbase.com/organization/seldon,Series A,7100000,GBP,9412089,2020-11-17,"AlbionVC, Amadeus Capital Partners, Cambridge Innovation Capital, Chris Adelsbach, Global Brain Corporation, Techstars",6,Seldon is a machine learning deployment platform.,"Artificial Intelligence, Machine Learning, Open Source"
Series A - Simba Sleep,https://www.crunchbase.com/funding_round/simba-sleep-series-a--b34d36fa,"London, England, United Kingdom, Europe",Simba Sleep,https://www.crunchbase.com/organization/simba-sleep,Series A,,,,2017-08-01,Monte Carlo Capital,1,Simba Sleep is an e-commerce company that offers a variety of mattresses.,"CRM, Customer Service, E-Commerce, Mobile, Retail"
Series A - Stokly,https://www.crunchbase.com/funding_round/stokly-series-a--abeb33a3,"Hereford, Herefordshire, United Kingdom, Europe",Stokly,https://www.crunchbase.com/organization/stokly,Series A,,,,2021-06-21,Future Planet Capital,1,Stokly provides a solution for large and small retailers.,"E-Commerce, Retail"
Seed Round - Railsr,https://www.crunchbase.com/funding_round/railsbank-seed--d97bf63a,"London, England, United Kingdom, Europe",Railsr,https://www.crunchbase.com/organization/railsbank,Seed,2168000,GBP,3035148,2018-02-20,"Cameron Parry, First Equity Private Clients, Tally Central Ltd",3,Railsr is a fintech company that offers banking and wallet components.,"Banking, Credit Cards, Financial Services, FinTech"
Seed Round - Skin + Me,https://www.crunchbase.com/funding_round/gleam-6d46-seed--35630f65,"London, England, United Kingdom, Europe",Skin + Me,https://www.crunchbase.com/organization/gleam-6d46,Seed,8000000,GBP,9940531,2019-09-16,"Charlotte Lawrence, JamJar Investments",2,Skin + Me is a D2C brand providing personalized skin treatments for feel-great skin.,"Health Care, Pharmaceutical, Therapeutics"
Seed Round - Open for Vintage,https://www.crunchbase.com/funding_round/open-for-vintage-seed--f001be02,"London, England, United Kingdom, Europe",Open for Vintage,https://www.crunchbase.com/organization/open-for-vintage,Seed,596402,GBP,814810,2021-09-20,,,The trusted destination in luxury re-sale,"E-Commerce, Fashion, Retail"
Series A - Flock,https://www.crunchbase.com/funding_round/flockcover-series-a--b4b3b9e5,"London, England, United Kingdom, Europe",Flock,https://www.crunchbase.com/organization/flockcover,Series A,17000000,USD,17000000,2021-07-29,"Anthemis Group, Dig Ventures, Social Capital",3,London-based insurtech building the world's first fully digital insurance company for connected and autonomous commercial vehicles,"Artificial Intelligence, Automotive, Autonomous Vehicles, Big Data, FinTech, Fleet Management, Insurance, InsurTech, Software"
Series A - Ori Biotech,https://www.crunchbase.com/funding_round/ori-biotech-series-a--8769aa6d,"London, England, United Kingdom, Europe",Ori Biotech,https://www.crunchbase.com/organization/ori-biotech,Series A,30000000,USD,30000000,2020-10-14,"Amadeus Capital Partners, Delin Ventures, Kindred Capital, Northpond Ventures, Octopus Ventures",5,Ori Biotech is a developer of a manufacturing platform used to help patients get access to lifesaving treatments.,"Biotechnology, Industrial Automation, Manufacturing, Therapeutics"
Series A - CyberSmart,https://www.crunchbase.com/funding_round/cybersmart-2-series-a--ae15ac0c,"London, England, United Kingdom, Europe",CyberSmart,https://www.crunchbase.com/organization/cybersmart-2,Series A,3086700,USD,3086700,2021-06-18,"Eos Venture Partners, IQ Capital, Winton Ventures",3,CyberSmart is an automated end-to-end cyber security compliance platform that helps SMBs.,"B2B, Compliance, Cyber Security, InsurTech, Network Security, Risk Management, SaaS"
Series A - IMMO Capital,https://www.crunchbase.com/funding_round/immo-capital-series-a--7f38de6f,"London, England, United Kingdom, Europe",IMMO Capital,https://www.crunchbase.com/organization/immo-capital,Series A,3000000,EUR,3561148,2020-08-20,"FinTech Collective, HV Capital, SURPLUS Equity Partners, Talis Capital",4,"Next-gen residential real estate portfolios. Powered by machines, managed by experts.","FinTech, Real Estate"
Series A - Acin,https://www.crunchbase.com/funding_round/acin-series-a--3814d202,"London, England, United Kingdom, Europe",Acin,https://www.crunchbase.com/organization/acin,Series A,12000000,USD,12000000,2020-09-28,"Carlos Gonzalez- Cadenas, Christopher Carter, Cristóbal Conde, Hearst’s Financial Venture Fund, Mandeep Singh, Notion Capital, Talis Capital",7,Acin is transforming the banking industry’s approach to non-financial risk.,"Financial Services, FinTech, Information Services, Information Technology"
Series A - Vidsy,https://www.crunchbase.com/funding_round/vidsy-series-a--4d5aab2d,"London, England, United Kingdom, Europe",Vidsy,https://www.crunchbase.com/organization/vidsy,Series A,4300000,GBP,5573233,2018-09-01,"Ascension, Delin Ventures, Force Over Mass Capital, GMG Ventures",4,Vidsy is the creative technology engine powering mobile video ad creation for brands.,"Advertising, Digital Marketing, Internet, Mobile, Mobile Advertising, Social Media, Video, Video Advertising"
Series A - Element,https://www.crunchbase.com/funding_round/new-vector-im-series-a--614913fd,"London, England, United Kingdom, Europe",Element,https://www.crunchbase.com/organization/new-vector-im,Series A,8500000,USD,8500000,2019-10-10,"Dawn Capital, Firstminute Capital, Notion Capital",3,"Element builds secure, self-sovereign chat apps and collaboration solutions using the open Matrix protocol.","Apps, Commercial, Communications Infrastructure, Information Technology, Software, VoIP"
Series A - OneDome,https://www.crunchbase.com/funding_round/onedome-series-a--36258733,"London, England, United Kingdom, Europe",OneDome,https://www.crunchbase.com/organization/onedome,Series A,5000000,GBP,6373161,2020-09-25,"Clark Winslow, Five Arrows Ltd, Martin Bolland, Nigel Knowles",4,OneDome is the World's First eHomeBuying Platform,"FinTech, Marketplace, Real Estate"
Series A - Cytora,https://www.crunchbase.com/funding_round/cytora-series-a--a2a90e87,"London, England, United Kingdom, Europe",Cytora,https://www.crunchbase.com/organization/cytora,Series A,5900000,USD,5900000,2017-12-06,"Cambridge Innovation Capital, Ilkka Paananen, Illusian Family Office, Parkwalk Advisors, Paul Forster, QBE Ventures, Starr Global Holding, University of Cambridge Enterprise",8,"Cytora is a configurable platform that enables commercial insurers to create digital workflows by digitising, evaluating and routing risks.","Commercial Insurance, Information Technology, Insurance, InsurTech, Risk Management, Software"
Series A - Beacon,https://www.crunchbase.com/funding_round/beacon-c8a5-series-a--ef254c82,"London, England, United Kingdom, Europe",Beacon,https://www.crunchbase.com/organization/beacon-c8a5,Series A,15000000,USD,15000000,2020-06-01,"8VC, Eric Schmidt, FJ Labs, Jeff Bezos, Red Sea Ventures, Travis Kalanick",6,Beacon is a digital supply chain and freight platform developed to optimize supply chains with insights and visibility.,"Freight Service, Logistics, Productivity Tools, Software, Supply Chain Management"
Series A - Picocom,https://www.crunchbase.com/funding_round/picocom-series-a--2d962a61,"Bristol, Bristol, City of, United Kingdom, Europe",Picocom,https://www.crunchbase.com/organization/picocom,Series A,,,,2020-10-19,CTC Capital,1,Picocom is a 5G open RAN baseband semiconductor and software specialist.,"Infrastructure, Semiconductor, Software"
Series A - CloudNC,https://www.crunchbase.com/funding_round/cloudnc-series-a--e7e63fec,"London, England, United Kingdom, Europe",CloudNC,https://www.crunchbase.com/organization/cloudnc,Series A,,,,2022-06-15,GRIDS Capital,1,CloudNC develops advanced software that enables factories to autonomously manufacture precision parts.,"Artificial Intelligence, Computer, Industrial, Manufacturing, Mechanical Engineering, Software"
Series A - CloudNC,https://www.crunchbase.com/funding_round/cloudnc-series-a--9a1ff901,"London, England, United Kingdom, Europe",CloudNC,https://www.crunchbase.com/organization/cloudnc,Series A,,,,2022-02-25,GRIDS Capital,1,CloudNC develops advanced software that enables factories to autonomously manufacture precision parts.,"Artificial Intelligence, Computer, Industrial, Manufacturing, Mechanical Engineering, Software"
Series A - YOPA,https://www.crunchbase.com/funding_round/yopa-series-a--32e82c53,"London, England, United Kingdom, Europe",YOPA,https://www.crunchbase.com/organization/yopa,Series A,16000000,GBP,23225735,2016-06-03,"dmg ventures, Savills",2,YOPA provides real estate agency services that assist clients in selling their properties.,"Commercial Real Estate, Property Management, Real Estate, Real Estate Investment, Retail Technology"
Series A - Ultromics,https://www.crunchbase.com/funding_round/ultromics-series-a--9d88a439,"Oxford, Oxfordshire, United Kingdom, Europe",Ultromics,https://www.crunchbase.com/organization/ultromics,Series A,10000000,USD,10000000,2020-06-15,Nina Capital,1,Ultromics clinicians and engineers working together to set new standards for world-class cardiovascular diagnostic tools.,"Artificial Intelligence, Computer Vision, Health Care, Health Diagnostics, Medical, Software"
Seed Round - Soldo,https://www.crunchbase.com/funding_round/soldo-seed--b389bd79,"London, England, United Kingdom, Europe",Soldo,https://www.crunchbase.com/organization/soldo,Seed,6000000,USD,6000000,2015-02-01,"Carlo Gualandri, Connect Ventures, Ithaca Investments, Marco Valta",4,Soldo is a multi-user expense account helping companies manage their budgets.,"Banking, Financial Services, FinTech, Payments"
Seed Round - Heist Studios,https://www.crunchbase.com/funding_round/heist-studios-seed--e415c8f5,"London, England, United Kingdom, Europe",Heist Studios,https://www.crunchbase.com/organization/heist-studios,Seed,2600000,USD,2600000,2017-09-13,"14W, Firstminute Capital, Imaginary Ventures, JamJar Investments, Natalie Massenet, Pembroke VCT, The New York Fund",7,Heist Studios is an online bodywear brand that manufactures tights for women.,"Fashion, Manufacturing, Textiles, Women's"
Series A - Healx,https://www.crunchbase.com/funding_round/healx-series-a--292bc2af,"Cambridge, Cambridgeshire, United Kingdom, Europe",Healx,https://www.crunchbase.com/organization/healx,Series A,10000000,USD,10000000,2018-07-26,"Amadeus Capital Partners, Balderton Capital, Jonathan Milner, Trend Investment Group",4,"Healx is an AI-powered, patient-inspired technology company, pioneering the next generation of drug discovery for rare diseases.","Artificial Intelligence, Biopharma, Biotechnology, Health Care, Medical"
Series A - Build A Rocket Boy,https://www.crunchbase.com/funding_round/build-a-rocket-boy-series-a--08ece0ad,"London, England, United Kingdom, Europe",Build A Rocket Boy,https://www.crunchbase.com/organization/build-a-rocket-boy,Series A,,,,2018-09-19,,,Build A Rocket Boy is an independent game development company.,"Information Technology, PC Games"
Series A - Peak,https://www.crunchbase.com/funding_round/peak-4-series-a--fb926782,"Manchester, Manchester, United Kingdom, Europe",Peak,https://www.crunchbase.com/organization/peak-4,Series A,5540000,USD,5540000,2017-09-11,"Bossanova Investimentos, MMC Ventures, Praetura Ventures",3,Peak is a decision intelligence company that provides a platform to offer data analysis services.,"Analytics, Artificial Intelligence, Big Data, Business Intelligence, Machine Learning"
Series A - Ultromics,https://www.crunchbase.com/funding_round/ultromics-series-a--31dd2a30,"Oxford, Oxfordshire, United Kingdom, Europe",Ultromics,https://www.crunchbase.com/organization/ultromics,Series A,10000000,GBP,13444854,2018-05-22,"Andre Crawford-Brunt, Dieter Spälti, Fushia Investments, Future Planet Capital, GT Healthcare Capital Partners, Neptune Investment Management, Oxford Science Enterprises, RT Ventures, Tanarra Credit Partners",9,Ultromics clinicians and engineers working together to set new standards for world-class cardiovascular diagnostic tools.,"Artificial Intelligence, Computer Vision, Health Care, Health Diagnostics, Medical, Software"
Series A - Tropic Biosciences,https://www.crunchbase.com/funding_round/tropic-biosciences-series-a--d5a6fb84,"London, England, United Kingdom, Europe",Tropic Biosciences,https://www.crunchbase.com/organization/tropic-biosciences,Series A,10000000,USD,10000000,2018-06-13,"Aliment Capital, Bits x Bites, Emerald Technology Ventures, Five Seasons Ventures, Future Planet Capital, Tekfen Ventures, UK Innovation & Science Seed Fund",7,Tropic Biosciences is a pioneering leader in the development of novel high-performing commercial tropical crop varieties and traits.,"Agriculture, Biotechnology"
Seed Round - Tropic Biosciences,https://www.crunchbase.com/funding_round/tropic-biosciences-seed--0895687f,"London, England, United Kingdom, Europe",Tropic Biosciences,https://www.crunchbase.com/organization/tropic-biosciences,Seed,,,,2017-06-01,"Future Planet Capital, UK Innovation & Science Seed Fund",2,Tropic Biosciences is a pioneering leader in the development of novel high-performing commercial tropical crop varieties and traits.,"Agriculture, Biotechnology"
Series A - ONI,https://www.crunchbase.com/funding_round/oni-series-a--c2f02142,"Oxford, Oxfordshire, United Kingdom, Europe",ONI,https://www.crunchbase.com/organization/oni,Series A,24000000,USD,24000000,2018-07-13,"Casdin Capital, GT Healthcare Capital Partners, Mark Evans, Oxford Science Enterprises, Puhua Capital",5,"ONI is a pioneer of super-resolution microscopy, making this advanced technology accessible to new generations of researchers.","Biotechnology, Life Science, Nanotechnology, Software Engineering"
Series A - Moochies,https://www.crunchbase.com/funding_round/moochies-inc-series-a--44ad7f49,"London, England, United Kingdom, Europe",Moochies,https://www.crunchbase.com/organization/moochies-inc,Series A,2500000,AUD,1727235,2019-11-01,,,Moochies is a company which makes mobile platforms and connected devices for kids.,"Consumer Electronics, Wearables"
Seed Round - Moochies,https://www.crunchbase.com/funding_round/moochies-inc-seed--90105dd1,"London, England, United Kingdom, Europe",Moochies,https://www.crunchbase.com/organization/moochies-inc,Seed,677700,AUD,512958,2017-06-24,,,Moochies is a company which makes mobile platforms and connected devices for kids.,"Consumer Electronics, Wearables"
Seed Round - Soldo,https://www.crunchbase.com/funding_round/soldo-seed--b1547f43,"London, England, United Kingdom, Europe",Soldo,https://www.crunchbase.com/organization/soldo,Seed,,,,2016-09-01,Seven Investments,1,Soldo is a multi-user expense account helping companies manage their budgets.,"Banking, Financial Services, FinTech, Payments"
Seed Round - Unibuddy,https://www.crunchbase.com/funding_round/unibudy-seed--eeb35162,"London, England, United Kingdom, Europe",Unibuddy,https://www.crunchbase.com/organization/unibudy,Seed,1500000,USD,1500000,2018-05-01,Bart Swanson,1,"Unibuddy helping universities and students to attract, engage and convert prospects through peer interactions.","EdTech, Education, SaaS, Universities"
Seed Round - Unibuddy,https://www.crunchbase.com/funding_round/unibudy-seed--e55670e7,"London, England, United Kingdom, Europe",Unibuddy,https://www.crunchbase.com/organization/unibudy,Seed,500000,USD,500000,2018-12-01,"Bart Swanson, Emerge Education",2,"Unibuddy helping universities and students to attract, engage and convert prospects through peer interactions.","EdTech, Education, SaaS, Universities"
Seed Round - Circulor,https://www.crunchbase.com/funding_round/circulor-seed--e6eda88a,"London, England, United Kingdom, Europe",Circulor,https://www.crunchbase.com/organization/circulor,Seed,,,,2019-12-16,Aerospace Xelerated,1,Circulor is a blockchain sustainability company that offers traceability-as-a-service and supply chain solutions for manufacturers.,"Artificial Intelligence, Blockchain, CleanTech, GreenTech, Supply Chain Management"
Series A - Colorifix,https://www.crunchbase.com/funding_round/colorifix-series-a--4d66cbfb,"Norwich, Norfolk, United Kingdom, Europe",Colorifix,https://www.crunchbase.com/organization/colorifix,Series A,6000000,USD,6000000,2020-07-10,"H&M Group Ventures (Prev. H&M CO:LAB), Primera Capital, SAGANA, The Mills Fabrica, University of Cambridge Enterprise, WENVEST Capital",6,"Colorifix is the first company to use a biological process to produce, deposit and fix pigments onto textiles.","Biotechnology, Commercial, Fashion"
Seed Round - Kroo,https://www.crunchbase.com/funding_round/b-social-seed--aa0b56f7,"London, England, United Kingdom, Europe",Kroo,https://www.crunchbase.com/organization/b-social,Seed,115543,USD,115543,2017-10-20,,,Kroo is a financial technology company that develops a mobile payment application to simplify cashless transactions.,"Financial Services, FinTech, Mobile Apps, Payments"
Seed Round - Heist Studios,https://www.crunchbase.com/funding_round/heist-studios-seed--8b504ae0,"London, England, United Kingdom, Europe",Heist Studios,https://www.crunchbase.com/organization/heist-studios,Seed,,,,2015-01-01,,,Heist Studios is an online bodywear brand that manufactures tights for women.,"Fashion, Manufacturing, Textiles, Women's"
Seed Round - Quantum Motion,https://www.crunchbase.com/funding_round/quantum-motion-technologies-seed--f0881189,"London, England, United Kingdom, Europe",Quantum Motion,https://www.crunchbase.com/organization/quantum-motion-technologies,Seed,,,,2017-11-15,"IP Group, Oxford Science Enterprises, Parkwalk Advisors",3,"Quantum Motion is building a universal quantum computer in Silicon, using CMOS compatible processes.","Electronics, Hardware, Quantum Computing"
Seed Round - 3S Money,https://www.crunchbase.com/funding_round/3s-money-seed--a0891a25,"London, England, United Kingdom, Europe",3S Money,https://www.crunchbase.com/organization/3s-money,Seed,465000,GBP,585388,2018-12-15,,,3S Money offers international business banking services in 190 countries.,"Banking, Financial Services, FinTech"
Seed Round - OMass Technologies,https://www.crunchbase.com/funding_round/omass-technologies-seed--a4dbbec3,"Oxford, Oxfordshire, United Kingdom, Europe",OMass Technologies,https://www.crunchbase.com/organization/omass-technologies,Seed,1000000,GBP,1411104,2016-06-14,Oxford Science Enterprises,1,OMass Technologies is a drug discovery company exploiting novel mass spectrometry platforms to develop therapeutics.,"Life Science, Pharmaceutical"
Series A - ENOUGH,https://www.crunchbase.com/funding_round/3fbio-series-a--85b162a6,"Glasgow, Glasgow City, United Kingdom, Europe",ENOUGH,https://www.crunchbase.com/organization/3fbio,Series A,6160000,GBP,8678110,2018-04-04,"DCVC, EOS Technology Investment Syndicate, Nick Elmslie, Scottish Investment Bank, University of Strathclyde",5,ENOUGH is a foodtech startup producing protein through fermenting fungi using renewable feedstocks.,"3D Technology, Biotechnology, Food and Beverage, Food Processing, Information Services, Information Technology"
Series A - THIS,https://www.crunchbase.com/funding_round/this-co-series-a--e79f543e,"London, England, United Kingdom, Europe",THIS,https://www.crunchbase.com/organization/this-co,Series A,11000000,GBP,15266519,2021-06-28,"BACKED VC, Business Growth Fund, CPT Capital, Five Seasons Ventures, Lever VC, Trellis Road",6,THIS is a plant-based product brand that provides alternative meat products.,"Food and Beverage, Food Processing, Organic, Organic Food"
Seed Round - Huboo,https://www.crunchbase.com/funding_round/huboo-seed--e5dedb81,"Bristol, Bristol, City of, United Kingdom, Europe",Huboo,https://www.crunchbase.com/organization/huboo,Seed,,,,2019-09-01,True.,1,Huboo is an eCommerce fulfilment partner using great people and smart technology to enable businesses to grow.,"E-Commerce, Logistics, Marketplace, Software, Supply Chain Management"
Seed Round - InfoSum,https://www.crunchbase.com/funding_round/cognitive-logic-seed--7589c2ac,"Basingstoke, Hampshire, United Kingdom, Europe",InfoSum,https://www.crunchbase.com/organization/cognitive-logic,Seed,5000000,USD,5000000,2017-09-11,"IA Ventures, LocalGlobe, Mark Suster, Mike Chalfen, Mosaic Ventures, Roger Ehrenberg, Saul Klein, Upfront Ventures",8,InfoSum provides a decentralized platform designed to remove the trust barriers between progress and privacy.,"Advertising, Big Data, Information Technology, Privacy, Security"
Series A - Inflowmatix,https://www.crunchbase.com/funding_round/inflowmatix-series-a--4bbef00c,"Southampton, Southampton, United Kingdom, Europe",Inflowmatix,https://www.crunchbase.com/organization/inflowmatix,Series A,3000000,GBP,4399446,2016-05-26,"Imperial Innovations, Parkwalk Advisors",2,Inflowmatix is a spin-out company from the InfraSense Labs at the Dept. of Civil and Environmental Engineering of Imperial College London.,"Water, Water Purification"
Seed Round - Previse,https://www.crunchbase.com/funding_round/previse-seed--92a2d1e1,"London, England, United Kingdom, Europe",Previse,https://www.crunchbase.com/organization/previse,Seed,,,,2017-12-08,,,Previse utilizes artificial intelligence to predict invoice payment decisions.,"Artificial Intelligence, Billing, Information Technology, Payments, Software"
Seed Round - Trussle,https://www.crunchbase.com/funding_round/trussle-seed--22d0f201,"London, England, United Kingdom, Europe",Trussle,https://www.crunchbase.com/organization/trussle,Seed,1200000,GBP,1731757,2016-02-08,"Ed Wray, Ian Hogarth, LocalGlobe, Pi Labs, Seedcamp, Squadron Venture Media",6,Trussle is a free online mortgage broker that works with much-needed transparency.,"Finance, Financial Services, Payments, Personal Finance, Real Estate"
Seed Round - Nature Metrics,https://www.crunchbase.com/funding_round/nature-metrics-seed--b04eab08,"Egham, Surrey, United Kingdom, Europe",Nature Metrics,https://www.crunchbase.com/organization/nature-metrics,Seed,,,,2016-05-23,"Iceni Seedcorn Fund, Origin Capital",2,Nature Metrics is an award-winning technology start-up using cutting-edge genetic techniques to monitor biodiversity.,"Biotechnology, Life Science"
Seed Round - Synthesia,https://www.crunchbase.com/funding_round/synthesia-seed--e798c042,"London, England, United Kingdom, Europe",Synthesia,https://www.crunchbase.com/organization/synthesia,Seed,3100000,USD,3100000,2019-04-25,"LDV Capital, Mark Cuban, MMC Ventures, Seedcamp, Taavet Hinrikus, Tiny VC, VAS Ventures",7,"Create professional AI videos from text in 120+ languages. Trusted by Reuters, BBC, Amazon and more.","Artificial Intelligence, Augmented Reality, Content Creators, Software, Video, Video Editing"
Seed Round - Zegami,https://www.crunchbase.com/funding_round/zegami-seed--a6fb83d7,"Oxford, Oxfordshire, United Kingdom, Europe",Zegami,https://www.crunchbase.com/organization/zegami,Seed,,,,2016-01-20,Parkwalk Advisors,1,Delivering explainable AI faster and more accurately. Zegami are end-to-end imaging AI specialists combining unique tools and ML services,"Analytics, Artificial Intelligence, Consulting, Data Visualization, Health Care, Machine Learning, Professional Services, Software"
Seed Round - Kwiff,https://www.crunchbase.com/funding_round/kwiff-seed--92864a13,"London, England, United Kingdom, Europe",Kwiff,https://www.crunchbase.com/organization/kwiff,Seed,,,,2017-04-01,Zenith Venture Capital,1,Kwiff is a native mobile sports betting app available in the United Kingdom on both iOS and Android.,"Gaming, Mobile Apps, Online Games, Recreation, Sports"
Seed Round - ROADMap Systems,https://www.crunchbase.com/funding_round/roadmap-seed--29e39c93,"Cambridge, Cambridgeshire, United Kingdom, Europe",ROADMap Systems,https://www.crunchbase.com/organization/roadmap,Seed,625000,USD,625000,2014-08-11,Cambridge Angels group,1,RoadMap is founded on four patents licensed from the Cambridge Centre for Advanced Photonics and Electronics (CAPE) in the area.,"Advanced Materials, Chemical, Electronics"
Series A - Aztec,https://www.crunchbase.com/funding_round/aztec-protocol-series-a--62637d0a,"London, England, United Kingdom, Europe",Aztec,https://www.crunchbase.com/organization/aztec-protocol,Series A,17000000,USD,17000000,2021-12-16,"A.Capital Ventures, Alliance DAO, Anthony Sassano, Bankless, DeFi Dad, Ethereal Ventures, imToken, IOSG Ventures, Libertus Capital, Mariano Conti, Paradigm, Scalar Capital, Stani Kulechov, Variant, Vitalik Buterin, zkValidator",16,Aztec develops an ethereum trading protocol that enables private transactions across the public blockchain.,"Blockchain, Ethereum, Privacy, Software"
Seed Round - FintechOS,https://www.crunchbase.com/funding_round/fintechos-seed--3aeb6baf,"London, England, United Kingdom, Europe",FintechOS,https://www.crunchbase.com/organization/fintechos,Seed,600000,EUR,682380,2018-11-20,Gapminder VC,1,Building the future of financial technology,"Artificial Intelligence, Enterprise Software, Financial Services, FinTech, Information Technology, Software, Venture Capital"
Seed Round - Trussle,https://www.crunchbase.com/funding_round/trussle-seed--8815bfa1,"London, England, United Kingdom, Europe",Trussle,https://www.crunchbase.com/organization/trussle,Seed,,,,2015-03-01,Spire Ventures,1,Trussle is a free online mortgage broker that works with much-needed transparency.,"Finance, Financial Services, Payments, Personal Finance, Real Estate"
Seed Round - Privitar,https://www.crunchbase.com/funding_round/privitar-seed--62792fc3,"London, England, United Kingdom, Europe",Privitar,https://www.crunchbase.com/organization/privitar,Seed,3000000,GBP,4003336,2016-08-02,"24 Haymarket, Illuminate Financial, IQ Capital",3,Privitar offers a data privacy platform that protect their customers’ sensitive personal data and to deliver comprehensive data privacy.,"Big Data, Cyber Security, Enterprise Software, Privacy, SaaS, Software"
Series A - Tide,https://www.crunchbase.com/funding_round/tide-2-series-a--828b3a89,"London, England, United Kingdom, Europe",Tide,https://www.crunchbase.com/organization/tide-2,Series A,14000000,USD,14000000,2017-07-04,"Anthemis Group, Creandum, LocalGlobe, Passion Capital",4,Tide is a business banking platform with a mission to save small businesses time and money on their banking and admin.,"Banking, Credit, Financial Services, FinTech, Mobile Apps"
Series A - ONI,https://www.crunchbase.com/funding_round/oni-series-a--eade49da,"Oxford, Oxfordshire, United Kingdom, Europe",ONI,https://www.crunchbase.com/organization/oni,Series A,5000000,USD,5000000,2020-09-01,Casdin Capital,1,"ONI is a pioneer of super-resolution microscopy, making this advanced technology accessible to new generations of researchers.","Biotechnology, Life Science, Nanotechnology, Software Engineering"
Seed Round - Hokodo,https://www.crunchbase.com/funding_round/hokodo-seed--67a31ff7,"London, England, United Kingdom, Europe",Hokodo,https://www.crunchbase.com/organization/hokodo,Seed,1900000,EUR,2188239,2018-10-04,"Anthemis Group, Eduardo Ronzano",2,"Hokodo is a provider of buy now, pay later solutions for e-commerce and B2B merchants.","B2B, E-Commerce, Financial Services, FinTech, Payments"
Series A - Wayland Additive,https://www.crunchbase.com/funding_round/wayland-additive-series-a--269ec246,"London, England, United Kingdom, Europe",Wayland Additive,https://www.crunchbase.com/organization/wayland-additive,Series A,3000000,GBP,3703736,2019-09-09,"ACF Investors, Longwall Venture Partners",2,Wayland Additive Limited is a West-Yorkshire based company pushing the boundaries of electron beam 3D printing.,"3D Printing, Machinery Manufacturing, Manufacturing"
Series A - FintechOS,https://www.crunchbase.com/funding_round/fintechos-series-a--fd302ed2,"London, England, United Kingdom, Europe",FintechOS,https://www.crunchbase.com/organization/fintechos,Series A,14000000,USD,14000000,2019-12-10,"Earlybird Venture Capital, Gapminder VC, LAUNCHub Ventures, OTB Ventures",4,Building the future of financial technology,"Artificial Intelligence, Enterprise Software, Financial Services, FinTech, Information Technology, Software, Venture Capital"
Seed Round - LandVault,https://www.crunchbase.com/funding_round/advir-seed--32e78740,"London, England, United Kingdom, Europe",LandVault,https://www.crunchbase.com/organization/advir,Seed,2100000,USD,2100000,2018-11-15,"Force Over Mass Capital, Founders Factory, Guillaume Glaunès, Maximus Richardson, Speedinvest, Sure Valley Ventures",6,LandVault is a programmatic monetization platform for in-game advertising.,"Advertising, Internet, Marketing, Social Media Advertising, Virtual Reality"
