Transaction Name,Transaction Name URL,Organization Location,Organization Name,Organization Name URL,Funding Type,Money Raised,Money Raised Currency,Money Raised Currency (in USD),Announced Date,Investor Names,Number of Investors,Organization Description,Organization Industries
Series A - Superscript,https://www.crunchbase.com/funding_round/superscript-series-a--05eed9b7,"London, England, United Kingdom, Europe",Superscript,https://www.crunchbase.com/organization/superscript,Series A,10400000,USD,10400000,2020-02-26,"Beazley, BHL Holdings, Kinled Holding, Nire Capital, Seedcamp",5,Superscript provides business insurance designed specifically to meet the fast-changing needs of small businesses.,"Blockchain, Commercial Insurance, Cryptocurrency, Insurance, InsurTech"
Series A - OMass Technologies,https://www.crunchbase.com/funding_round/omass-technologies-series-a--a26f9188,"Oxford, Oxfordshire, United Kingdom, Europe",OMass Technologies,https://www.crunchbase.com/organization/omass-technologies,Series A,27500000,GBP,35766170,2020-02-17,"Oxford Science Enterprises, Syncona Partners LLP",2,OMass Technologies is a drug discovery company exploiting novel mass spectrometry platforms to develop therapeutics.,"Life Science, Pharmaceutical"
Series A - Let’s Do This,https://www.crunchbase.com/funding_round/let-s-do-this-series-a--245ff404,"London, England, United Kingdom, Europe",Let’s Do This,https://www.crunchbase.com/organization/let-s-do-this,Series A,15000000,USD,15000000,2019-11-13,"EQT Ventures, Hummingbird Ventures, NFX, Paddy Dear, Richard Oldfield, Y Combinator",6,Let’s Do This is an online marketplace that that features endurance events in a global scale.,"E-Commerce, Events, Marketplace, Sports"
Seed Round - Lifebit,https://www.crunchbase.com/funding_round/lifebit-ai-seed--a2d930b6,"London, England, United Kingdom, Europe",Lifebit,https://www.crunchbase.com/organization/lifebit-ai,Seed,,,,2018-01-03,,,"Lifebit CloudOS is the intelligent genomics platform that is the industry standard for unified, secure research over distributed big data.","Artificial Intelligence, Bioinformatics, Biotechnology, Cloud Data Services, Genetics, Life Science, Machine Learning, Pharmaceutical, Software"
Seed Round - Hack The Box,https://www.crunchbase.com/funding_round/hack-the-box-seed--1c729fef,"Folkestone, Kent, United Kingdom, Europe",Hack The Box,https://www.crunchbase.com/organization/hack-the-box,Seed,1300000,USD,1300000,2019-04-02,Marathon Venture Capital,1,"Hack The Box is a leading gamified cybersecurity upskilling, certification, and talent assessment software platform.","Cyber Security, Information Technology, Penetration Testing, Skill Assessment, Training"
Seed Round - Seldon,https://www.crunchbase.com/funding_round/seldon-seed--51eb20d3,"London, England, United Kingdom, Europe",Seldon,https://www.crunchbase.com/organization/seldon,Seed,,,,2016-01-25,"Playfair Capital, Techstars, Will Brooks, Will Martin",4,Seldon is a machine learning deployment platform.,"Artificial Intelligence, Machine Learning, Open Source"
Seed Round - hackajob,https://www.crunchbase.com/funding_round/hackajob-seed--81afe6b4,"London, England, United Kingdom, Europe",hackajob,https://www.crunchbase.com/organization/hackajob,Seed,118000,USD,118000,2015-07-06,Techstars,1,"hackajob exists to bring great people together with great companies, helping them continue to drive the world forward.","Analytics, Human Resources, Information Technology, Recruiting, Software, Staffing Agency"
Seed Round - Chattermill,https://www.crunchbase.com/funding_round/chattermill-seed--8d2ea876,"London, England, United Kingdom, Europe",Chattermill,https://www.crunchbase.com/organization/chattermill,Seed,600000,GBP,808935,2017-12-07,"Andrew Weisz, Avonmore Developments, Entrepreneur First, Jeff Kelisky",4,"Chattermill is a customer intelligence platform that unifies and analyses your customer feedback, support, and conversation data.","Analytics, Artificial Intelligence, Enterprise Software, Machine Learning, Natural Language Processing, Software"
Seed Round - Vaccitech,https://www.crunchbase.com/funding_round/vaccitech-seed--06d4a3c3,"Oxford, Oxfordshire, United Kingdom, Europe",Vaccitech,https://www.crunchbase.com/organization/vaccitech,Seed,10000000,GBP,12372517,2016-11-08,Oxford Science Enterprises,1,Vaccitech is creating novel vaccines that elicit strong responses from helper and cytotoxic T-cells.,"Biotechnology, Medical, Pharmaceutical, Therapeutics"
Seed Round - Pento,https://www.crunchbase.com/funding_round/pento-seed--653bc032,"London, England, United Kingdom, Europe",Pento,https://www.crunchbase.com/organization/pento,Seed,4500000,DKK,710614,2017-10-23,"Christian Jantzen, Jens Sørensen, Kim Agger, PreSeed Ventures, Seed Capital",5,Pento provides a SaaS-based online platform intended to optimize payroll services.,"Accounting, FinTech, SaaS"
Series A - RAB Microfluidics,https://www.crunchbase.com/funding_round/rab-microfluidics-series-a--9aabb6d7,"Aberdeen, Aberdeen City, United Kingdom, Europe",RAB Microfluidics,https://www.crunchbase.com/organization/rab-microfluidics,Series A,1240000,GBP,1689815,2021-01-05,"Eos Advisory, Newable Private Investing, Scottish Enterprise",3,RAB-Microfluidics is a Research & Development company developing cutting-edge microfluidic technology to solve oil analysis problems.,"Aerospace, Nanotechnology, Oil and Gas"
Seed Round - Cambridge GaN Devices,https://www.crunchbase.com/funding_round/cambridge-gan-devices-seed--cbb0c051,"Cambridge, Cambridgeshire, United Kingdom, Europe",Cambridge GaN Devices,https://www.crunchbase.com/organization/cambridge-gan-devices,Seed,,,,2019-05-15,Parkwalk Advisors,1,Cambridge GaN Devices develops transistors designed to bring widespread adoption of GaN technology in consumer electronics.,Semiconductor
Seed Round - Pollination,https://www.crunchbase.com/funding_round/pollination-seed--e7931df2,"London, England, United Kingdom, Europe",Pollination,https://www.crunchbase.com/organization/pollination,Seed,,,,2020-05-05,Serendipity Capital,1,Pollination is a specialist climate change advisory and investment firm.,
Series A - Beauty Pie,https://www.crunchbase.com/funding_round/beauty-pie-series-a--6976a91a,"London, England, United Kingdom, Europe",Beauty Pie,https://www.crunchbase.com/organization/beauty-pie,Series A,,,,2020-12-16,"Balderton Capital, General Catalyst, Index Ventures",3,Beauty Pie is a beauty buyers' club that gives members access to high-quality beauty products at transparent factory-cost prices.,Beauty
Series A - Richkart,https://www.crunchbase.com/funding_round/richkart-series-a--2b70e9b7,"London, England, United Kingdom, Europe",Richkart,https://www.crunchbase.com/organization/richkart,Series A,1300000,GBP,1671166,2019-02-13,,,"Richkart is an international e-commerce website for consumers, sellers, and content creators.","E-Commerce, Information Technology"
Seed Round - Tripledot Studios,https://www.crunchbase.com/funding_round/tripledot-studios-seed--b27e2240,"London, England, United Kingdom, Europe",Tripledot Studios,https://www.crunchbase.com/organization/tripledot-studios,Seed,8000000,USD,8000000,2018-11-20,"Julien Codorniou, Velo Partners",2,Tripledot Studios is a mobile games studio that develops casual mobile games such as solitaire app and several puzzle games.,"Apps, Casual Games, Mobile, PC Games"
Seed Round - ONI,https://www.crunchbase.com/funding_round/oni-seed--4b10a7c0,"Oxford, Oxfordshire, United Kingdom, Europe",ONI,https://www.crunchbase.com/organization/oni,Seed,3700000,USD,3700000,2017-04-03,"GT Healthcare Capital Partners, Oxford Science Enterprises",2,"ONI is a pioneer of super-resolution microscopy, making this advanced technology accessible to new generations of researchers.","Biotechnology, Life Science, Nanotechnology, Software Engineering"
