search URL:,https://patents.google.com/?assignee=Univ+Sheffield&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2021184755-A,Oncolytic herpes simplex virus-infected cells ,"ウイルツ・バイオロジクス・リミテッド, Virttu Biologics Ltd, ザ・ユニバーシティ・オブ・シェフィールド, Univ Of Sheffield","コナー ジョー, Conner Joe, マザナ ムニッタ, Muthana Munitta, ルイス クレア・エリザベス, Elizabeth Lewis Claire",2015-03-13,2021-08-31,2021-12-09,,https://patents.google.com/patent/JP2021184755A/en,https://patentimages.storage.googleapis.com/24/b5/f0/8a9b70e6dc5064/2021184755-12.png
US-9520230-B2,Production method of rare earth magnet ,"Toyota Jidosha Kabushiki Kaisha, Centre National De La Recherche Scientifique, Leibniz Institute For Solid State And Materials Research Dresden, University Of Sheffield","Noritsugu Sakuma, Hidefumi Kishimoto, Akira Kato, Tetsuya Shoji, Dominique Givord, Nora Dempsey, Thomas George Woodcock, Oliver Gutfleisch, Gino Hrkac, Thomas Schrefl",2010-10-25,2011-05-13,2016-12-13,2016-12-13,https://patents.google.com/patent/US9520230B2/en,https://patentimages.storage.googleapis.com/f4/a2/51/1036bb2bc46809/US09520230-20161213-D00000.png
CN-110612106-A,Wound healing medicine ,"谢菲尔德大学, 巴基斯坦信息技术学院","M·亚尔, S·麦克尼尔",2017-03-07,2018-03-07,2019-12-24,,https://patents.google.com/patent/CN110612106A/en,
US-10717095-B2,End effector for a robot ,"Bae Systems Plc, The University Of Sheffield","Martin Knott, Ryan Wesley Diver",2016-02-05,2017-02-02,2020-07-21,2020-07-21,https://patents.google.com/patent/US10717095B2/en,https://patentimages.storage.googleapis.com/ed/dc/b2/63f132a04d7ef3/US10717095-20200721-D00000.png
EP-4000106-A1,Led arrays ,The University of Sheffield,Tao Wang,2019-07-19,2020-07-14,2022-05-25,,https://patents.google.com/patent/EP4000106A1/en,
GB-2486369-A,Method and apparatus for retrieving a phase of a wavefield ,Univ Sheffield,Fucai Zhang,2009-09-15,2010-09-10,2012-06-13,,https://patents.google.com/patent/GB2486369A/en,
US-2013008678-A1,"Remote confined-space machining, and positioning and securing arrangement ",The University Of Sheffield,Garth Martyn John NICHOLSON,2009-08-07,2012-09-14,2013-01-10,,https://patents.google.com/patent/US20130008678A1/en,https://patentimages.storage.googleapis.com/d7/d4/0f/e55c6048277838/US20130008678A1-20130110-D00000.png
GB-201917184-D0,Guiding device for a vascular catheter ,Univ Sheffield,,2019-11-26,2019-11-26,2020-01-08,,https://patents.google.com/patent/GB201917184D0/en,
GB-201502460-D0,Parameter estimation and control method and apparatus ,Univ Sheffield,,2015-02-13,2015-02-13,2015-04-01,,https://patents.google.com/patent/GB201502460D0/en,
GB-201107053-D0,Improvements in providing image data ,Univ Sheffield,,2011-04-27,2011-04-27,2011-06-08,,https://patents.google.com/patent/GB201107053D0/en,
