search URL:,https://patents.google.com/?assignee=Univ+Bristol&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2016124080-A1,Method and apparatus for producing an acoustic field ,Ultrahaptics Limited,"Thomas Andrew Carter, Benjamin John Oliver Long, Sriram Subramanian",2013-05-08,2014-04-29,2016-05-05,,https://patents.google.com/patent/US20160124080A1/en,https://patentimages.storage.googleapis.com/7a/eb/e7/dec0fa2fa1a1b2/US20160124080A1-20160505-D00000.png
US-2015192995-A1,Method and apparatus for providing tactile sensations ,University Of Bristol,"Sriram Subramanian, Thomas Andrew Carter, Benjamin John Oliver Long",2014-01-07,2014-01-07,2015-07-09,,https://patents.google.com/patent/US20150192995A1/en,https://patentimages.storage.googleapis.com/61/35/0f/5714dd534e264f/US20150192995A1-20150709-D00000.png
US-2014379038-A1,System for anatomical reduction of bone fractures ,"University Of The West Of England, Bristol","Sanja Dogramadzi, Roger Michael Atkins, Daniel Raabe",2011-09-09,2012-09-07,2014-12-25,,https://patents.google.com/patent/US20140379038A1/en,https://patentimages.storage.googleapis.com/f2/5a/9c/a1b6630fbf7e44/US20140379038A1-20141225-D00000.png
US-2015142398-A1,Methods for a multi-scale description of the electronic structure of molecular systems and materials and related applications ,"California Institute Of Technology, University Of Bristol","Thomas F MILLER, III, Frederick R MANBY",2013-11-20,2014-11-20,2015-05-21,,https://patents.google.com/patent/US20150142398A1/en,https://patentimages.storage.googleapis.com/77/b9/bf/a9237260f1668f/US20150142398A1-20150521-D00000.png
US-9182615-B2,Particles for electrophoretic displays ,"Merck Patent Gmbh, The University Of Bristol","Nils Greinert, Marc UERDINGEN, Ludger Beylage, Nikolai (Mykola) Ignatyev, Jonathan Henry Wilson, Mark John Goulding, Roger Kemp, Ashley Nathan Smith, Paul Bartlett, Peter Barthen, Walter Frank, Rodrigo Sanchez Garcia",2010-11-30,2011-11-25,2015-11-10,2015-11-10,https://patents.google.com/patent/US9182615B2/en,
US-2017191946-A1,Apparatus for and method of inspecting surface topography of a moving object ,"University Of The West Of England, Bristol, The Governor And Company Of The Bank Of England","Melvyn Smith, Lyndon Smith, Abdul FAROOQ, David Jesse FINNEGAN, Ian Crook",2014-06-05,2015-06-05,2017-07-06,,https://patents.google.com/patent/US20170191946A1/en,https://patentimages.storage.googleapis.com/c5/16/1d/d6b1fa6eb0224a/US20170191946A1-20170706-D00000.png
US-2019017032-A1,Cell reprogramming ,"Monash University, The University Of Bristol, Riken, Cell Mogrify Limited","Jaber Firas, Jose Polo, Julian GOUGH, Yoshihide Hayashizaki, Owen Rackham",2015-12-23,2016-12-23,2019-01-17,,https://patents.google.com/patent/US20190017032A1/en,https://patentimages.storage.googleapis.com/f9/c2/bd/e516368111d49e/US20190017032A1-20190117-D00000.png
JP-2014224125-A,Vegf-splicing controlling agents as pro- or con-angiogenic agents ,"ユニバーシティ オブ ブリストルＵｎｉｖｅｒｓｉｔｙ Ｏｆ Ｂｒｉｓｔｏｌ, Univ Of Bristol, ユニバーシティ  オブ  ブリストル","ベイツ デイビット, Bates David, ベイツ デイビット, ジェームズ ハーパー スティーブン, James Harper Steven, ジェームズ  ハーパー スティーブン, クジェゴシ ノワック デイビット, Grzegorz Nowak Dawid, クジェゴシ  ノワック デイビット",2007-03-09,2014-07-10,2014-12-04,,https://patents.google.com/patent/JP2014224125A/en,https://patentimages.storage.googleapis.com/8d/a2/ea/623772594633a3/2014224125-3.png
WO-2011033277-A3,Apparatus and method for the manipulation of objects using ultrasound ,"University Of Dundee, University Of Bristol, University Of Glasgow, University Of Southampton","Sandy Cochran, Bruce Drinkwater, Martyn Hill, David Cumming",2009-09-21,2010-09-21,2011-06-30,,https://patents.google.com/patent/WO2011033277A3/en,
CN-108601520-A,Sensibility of the measurement to polarised light ,布里斯托大学,谢尔比·坦普尔,2016-02-05,2017-02-01,2018-09-28,,https://patents.google.com/patent/CN108601520A/en,
JP-2010210636-A,Scanning probe microscope ,"Univ Of Bristol, ユニバーシティ・オブ・ブリストル","Mervyn John Miles, マイルズ，マーヴィン・ジョン, Andrew David Laver Humphris, ハンフリス，アンドリュー・デイヴィッド・レイヴァー, Jamie Kayne Hobbs, ホッブズ，ジェイミー・ケイン",2002-07-04,2010-05-06,2010-09-24,,https://patents.google.com/patent/JP2010210636A/en,https://patentimages.storage.googleapis.com/3f/dd/58/e3f21baeb4c9f1/2010210636-3.png
US-2019115877-A1,Method for generating an analog signal and compensating for non-linearity ,"King Fahd University Of Petroleum And Minerals, The University Of Bristol","Souheil Ben Smida, Oualid Hammi, Kevin Andrew Morris",2015-10-27,2018-12-07,2019-04-18,,https://patents.google.com/patent/US20190115877A1/en,https://patentimages.storage.googleapis.com/4d/bb/ef/7ecc9bc6daf514/US20190115877A1-20190418-D00000.png
US-2010246816-A1,Data encryption ,The University Of Bristol,"Nithin Mohan Thomas, David Roger Bull, David Wallace Redmill",2009-03-26,2010-03-25,2010-09-30,,https://patents.google.com/patent/US20100246816A1/en,https://patentimages.storage.googleapis.com/9b/17/32/cd03206db05264/US20100246816A1-20100930-D00000.png
GB-201415923-D0,Method and apparatus for modulating haptic feedback ,Univ Bristol,,2014-09-09,2014-09-09,2014-10-22,,https://patents.google.com/patent/GB201415923D0/en,
WO-2011104112-A1,Vibration damping structures ,"Rolls-Royce Plc, University Of Exeter, University Of Bristol","Ramesh Rajasekaran, Fabrizio Scarpa, Christopher Smith, Wayne Miller, Kenneth Evans",2010-02-23,2011-02-08,2011-09-01,,https://patents.google.com/patent/WO2011104112A1/en,
WO-2012019106-A3,Compounds for use in modulating the nmda receptor ,"Board Of Regents Of The University Of Nebraska, The University Of Bristol","Daniel T. Monaghan, David E. Jane, Blaise Mathias Costa, Mark Irvine, Guangyu Fang",2010-08-06,2011-08-05,2012-06-07,,https://patents.google.com/patent/WO2012019106A3/en,
GB-201201936-D0,Super-oscillatory lens device ,"Univ Southampton, Univ Bristol",,2012-02-03,2012-02-03,2012-03-21,,https://patents.google.com/patent/GB201201936D0/en,
