search URL:,https://patents.google.com/?assignee=Univ+Bath&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
US-2016282355-A1,Materials and methods for analysing glycation ,The University Of Bath,"Tony David James, Stephen Edward Flower, Johannes Maria Hubertus Van Den Elsen, Marta Patricia Pereira Morais",2013-03-20,2014-03-19,2016-09-29,,https://patents.google.com/patent/US20160282355A1/en,https://patentimages.storage.googleapis.com/e9/14/67/d2df76d67ecbbb/US20160282355A1-20160929-D00001.png
WO-2019092388-A1,Synthesis of monoterpenoid ester compounds ,University Of Bath,"Matthew Quinn STYLES, Micaela Gabrielle CHACON, David Jonathan Leak",2017-11-10,2017-11-10,2019-05-16,,https://patents.google.com/patent/WO2019092388A1/en,
WO-2019220130-A1,"Apparatus, method and system relating to aircraft systems ",University Of Bath,"David Cleaver, Jonathan DU BOIS, Pejman IRAVANI",2018-05-18,2019-05-16,2019-11-21,,https://patents.google.com/patent/WO2019220130A1/en,
US-2016304529-A1,Novel Opioid Compounds and Their Uses ,"The University Of Bath, The Torrey Pines Institute For Molecular Studies, Sri International","John Lewis, Stephen Husbands, Lawrence Toll",2013-12-05,2014-12-05,2016-10-20,,https://patents.google.com/patent/US20160304529A1/en,https://patentimages.storage.googleapis.com/16/34/e3/0ae7d8a0b013b3/US20160304529A1-20161020-D00001.png
CN-104797338-A,Catalyst comprising iron and carbon nanotubes ,巴斯大学,"M.D.琼斯, D.马蒂拉, J.P.奥伯恩, R.E.欧文, D.米内特, P.普拉辛斯基, S.I.帕斯卡",2012-11-16,2013-11-15,2015-07-22,,https://patents.google.com/patent/CN104797338A/en,
EP-2361502-A1,"Active antimicrobial compositions, coatings and methods for controlling pathogenic bacteria ","Max-Planck-Gesellschaft zur Förderung der Wissenschaften e.V., University Of Bath","Renate Förch, Andrew Jenkins",2010-02-05,2010-02-05,2011-08-31,,https://patents.google.com/patent/EP2361502A1/en,https://patentimages.storage.googleapis.com/9e/25/58/421d13d11c392f/imgf0001.png
US-8865750-B2,Small molecule inhibitors of RGS proteins ,"The Regents Of The University Of Michigan, The University Of Bath","Richard Neubig, Levi Blazer, Stephen Husbands, Scott Larsen, John Traynor",2011-04-28,2012-04-27,2014-10-21,2014-10-21,https://patents.google.com/patent/US8865750B2/en,https://patentimages.storage.googleapis.com/dc/c1/40/bb26248fefba4b/US08865750-20141021-D00001.png
US-8594947-B2,Crystal structure of an angiotensin-converting enzyme (ACE) and uses thereof ,"University Of Bath, University Of Cape Town","Ravi Acharya, Edward Sturrock",2002-09-12,2010-02-26,2013-11-26,2013-11-26,https://patents.google.com/patent/US8594947B2/en,https://patentimages.storage.googleapis.com/5f/be/c9/e668a756bc86ca/US08594947-20131126-D00000.png
CA-3069809-A1,Methods and compositions for treating inflammation ,"University Of Massachusetts, University Of Bath, Randall Mrsny, Beth A. Mccormick, Roland Ellwood Dolle","Randall Mrsny, Beth A. Mccormick, Roland Ellwood Dolle",2017-07-14,2018-07-13,2019-01-17,,https://patents.google.com/patent/CA3069809A1/en,
CN-110177570-A,Immunogenic composition and application thereof comprising Sbi albumen ,巴斯大学,"让·凡登埃尔森, 安德鲁·格雷厄姆·沃茨, 凯文·詹姆斯·马奇班克",2016-11-25,2017-11-24,2019-08-27,,https://patents.google.com/patent/CN110177570A/en,
CN-106661086-A,Drug delivery enhancement agents ,巴斯大学,R·J·姆尔斯尼,2014-06-12,2015-06-12,2017-05-10,,https://patents.google.com/patent/CN106661086A/en,
WO-2012049464-A1,Reagent ,"The University Of Bath, Bath Ventures",Geoffrey Holman,2010-10-13,2011-10-13,2012-04-19,,https://patents.google.com/patent/WO2012049464A1/en,
EP-2389419-A1,Antimicrobial coatings ,The University of Bath,"Andrew Johnson, Neil Poulter, Andrew Jenkins",2009-01-20,2010-01-20,2011-11-30,,https://patents.google.com/patent/EP2389419A1/en,
GB-201121659-D0,Substrates for semiconductor devices ,"Element Six Ltd, Univ Bath",,2011-12-16,2011-12-16,2012-01-25,,https://patents.google.com/patent/GB201121659D0/en,
GB-201112224-D0,Method for manufacturing a nanocomposite material ,Univ Bath,,2011-07-15,2011-07-15,2011-08-31,,https://patents.google.com/patent/GB201112224D0/en,
GB-2558654-A,Fibre ropes and composite materials containing fibre ropes ,Univ Bath,"Meo Michele, Pinto Fulvio, Iervolino Onorio",2017-01-16,2017-01-16,2018-07-18,,https://patents.google.com/patent/GB2558654A/en,
US-2021396736-A1,Screening assay ,The University Of Bath,"Jody Michael MASON, Neil Mark KAD",2018-12-20,2019-12-20,2021-12-23,,https://patents.google.com/patent/US20210396736A1/en,https://patentimages.storage.googleapis.com/19/ae/51/3f825fd19a152a/US20210396736A1-20211223-D00000.png
EP-2442831-A2,Materials and methods relating to glycosylation ,The University Of Bath,"Andrew Graham Watts, Amanda Barbara Mackenzie, Terrence Kantner",2009-06-16,2010-06-17,2012-04-25,,https://patents.google.com/patent/EP2442831A2/en,
