search URL:,https://patents.google.com/?assignee=Univ+Birmingham&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
EP-2917961-B1,Reconfigurable mimo antenna for vehicles ,The University Of Birmingham,"Zhen Hua HU, Peter Hall, Peter Gardner",2012-11-09,2013-10-31,2016-04-27,2016-04-27,https://patents.google.com/patent/EP2917961B1/en,https://patentimages.storage.googleapis.com/05/f1/83/a1494838462598/imgf0001.png
EP-2786479-B1,Power converter ,The University of Birmingham,"Xiao-Ping Zhang, Zhou Li",2011-11-30,2012-11-29,2020-09-23,2020-09-23,https://patents.google.com/patent/EP2786479B1/en,https://patentimages.storage.googleapis.com/23/6c/4e/226727544ce259/imgf0001.png
US-10850082-B2,Microfluidic devices and fabrication ,"Newsouth Innovations Pty Limited, The University Of Birmingham","Zahra Faraji Rad, Robert Ernest Nordon, Graham James Davies, Carl John Anthony, Philip Prewett",2014-09-03,2015-09-03,2020-12-01,2020-12-01,https://patents.google.com/patent/US10850082B2/en,https://patentimages.storage.googleapis.com/01/dd/88/7f4a0492947672/US10850082-20201201-D00000.png
US-2013307742-A1,Balanced antenna system ,The University Of Birmingham,"Zhen Hua Sampson Hu, Peter Hall",2010-11-29,2011-11-11,2013-11-21,,https://patents.google.com/patent/US20130307742A1/en,https://patentimages.storage.googleapis.com/e2/80/fb/f004d738136f61/US20130307742A1-20131121-D00000.png
US-2020038544-A1,Dressing ,University Of Birmingham,"Liam Grover, Ann Logan, Felicity DE COGAN, Gurpreet CHOUHAN",2015-01-12,2019-08-14,2020-02-06,,https://patents.google.com/patent/US20200038544A1/en,https://patentimages.storage.googleapis.com/9c/53/fe/1d1410360ca1bf/US20200038544A1-20200206-D00001.png
US-11566075-B2,Antibodies and related molecules and uses thereof ,"Cancer Research Technology Limited, The University Of Birmingham","Roy Bicknell, Steven Lee",2016-03-15,2017-03-14,2023-01-31,2023-01-31,https://patents.google.com/patent/US11566075B2/en,https://patentimages.storage.googleapis.com/9e/5b/7f/57c89cc673be64/US11566075-20230131-D00005.png
EP-3292626-B1,Elimination of commutation failure by hybrid hvdc system ,The University of Birmingham,"Xiao-Ping Zhang, Ying XUE",2015-05-05,2016-04-11,2022-08-03,2022-08-03,https://patents.google.com/patent/EP3292626B1/en,https://patentimages.storage.googleapis.com/97/41/4d/32c356a249ed3e/imgf0001.png
US-11303088-B2,Optical frequency manipulation ,The University Of Birmingham,"Yu-Hung Lien, Michael Holynski, Lingxiao Zhu, Kai BONGS",2017-07-27,2018-07-27,2022-04-12,2022-04-12,https://patents.google.com/patent/US11303088B2/en,https://patentimages.storage.googleapis.com/70/5c/9c/21e1068abbe316/US11303088-20220412-D00000.png
EP-2785683-A1,Inkt cell modulators and methods of using the same ,"The Chancellor, Masters and Scholars of The University of Oxford, The University of Birmingham","Vincenzo Cerundolo, Gurdyal Besra, Cox LIAM",2011-11-30,2012-11-30,2014-10-08,,https://patents.google.com/patent/EP2785683A1/en,
CN-108884167-A,Chimeric antigen receptor ,"癌症研究技术有限公司, 伯明翰大学, 细胞治疗飞跃有限责任公司","R.比克内尔, S.李, N.芒特, M.夏普",2016-03-15,2017-03-14,2018-11-23,,https://patents.google.com/patent/CN108884167A/en,
CN-111886156-A,Vehicle charging ,伯明翰大学,"丁玉龙, 赵彦琦, 曹惠, 聂彬剑",2018-02-21,2019-02-21,2020-11-03,,https://patents.google.com/patent/CN111886156A/en,https://patentimages.storage.googleapis.com/78/ff/58/65c00014709d29/HDA0002692857470000041.png
US-2022387567-A1,Compositions and methods for treating diseases and disorders associated with aberrant regulation of proteins ,"University Of Virginia Patent Foundation, The University Of Birmingham, The General Hospital Corporation","Donald F. Hunt, Jeffrey Shabanowitz, Keira MAHONEY, Jennifer G. Abelin, Mohammad Ovais Azizzanjani, Paisley Trantham Myers, Stacy Alyse Malaker, Andrew Norris, Jennifer Hitchcock, Xi Peng, Negin Ghafourian, Mark Cobbold, Sarah Penny, Nico Buettner, James M. Heather",2019-03-21,2020-03-23,2022-12-08,,https://patents.google.com/patent/US20220387567A1/en,https://patentimages.storage.googleapis.com/f6/fe/8b/c1c6c3ecce0c7a/US20220387567A1-20221208-D00000.png
AU-2021286403-A1,Target peptides for cancer therapy and diagnostics ,"The University Of Birmingham, University Of Virginia Patent Foundation","Nico BUTTNER, Mark Cobbold, Donald F. Hunt, Stacy Alyse Malaker, Sarah PENNY, Jeffrey Shabanowitz, Paisley TRANTHAM MYERS",2016-05-05,2021-12-17,2022-01-20,,https://patents.google.com/patent/AU2021286403A1/en,
WO-2015034519-A1,Target peptides for immunotherapy and diagnostics ,"University Of Virginia Patent Foundation, The University Of Birmingham","Donald F. Hunt, Jeffrey Shabanowitz, Stacy A. MALAKER, Victor H. Engelhard, Angela Zarling, Kara L. CUMMINGS, Rebecca C. OBENG, Mark Cobbold",2013-09-03,2013-09-06,2015-03-12,,https://patents.google.com/patent/WO2015034519A1/en,
HK-1256615-A1,Identification of class i mhc associated glycopeptides as targets for cancer immuno-therapy ,"Univ Virginia Patent Foundation, Univ Birmingham","Donald F Hunt, Jeffrey Shabanowitz, Stacy A Malaker, Mark Cobbold, Sarah Penny",2015-08-07,2018-12-10,2019-09-27,,https://patents.google.com/patent/HK1256615A1/en,
US-9775367-B2,Low fat chocolate ,The University Of Birmingham,"Ian Timothy Norton, Philip William Cox, Benjamin Jean Didier Le Reverend, Jennifer Elizabeth Norton",2009-06-15,2010-06-15,2017-10-03,2017-10-03,https://patents.google.com/patent/US9775367B2/en,https://patentimages.storage.googleapis.com/8b/85/1f/b6e8ccc4242d1b/US09775367-20171003-D00000.png
