search URL:,https://patents.google.com/?assignee=Univ+Leeds&after=filing:20100101&language=ENGLISH
id,title,assignee,inventor/author,priority date,filing/creation date,publication date,grant date,result link,representative figure link
JP-2014223331-A,Tissue preparation for meniscus implantation ,"ユニヴァーシティ・オヴ・リーズ, Univ Of Leeds","インガム，アイリーン, Ingham Eileen, フィッシャー，ジョン, Fisher John, ステイプルトン，トーマス, Stapleton Thomas, イングラム，ジョアン, Ingram Joanne",2006-11-16,2014-06-27,2014-12-04,,https://patents.google.com/patent/JP2014223331A/en,https://patentimages.storage.googleapis.com/50/18/0b/4ee3d6aaee13ca/2014223331-2.png
JP-2021098722-A,Metal complexes ,"ユニバーシティ オブ リーズ, Univ Of Leeds, ユニバーシティ  オブ  リーズ","スティーヴン・フィリップ・マースデン, Philip Marsden Stephen, パトリック・コルンバ・マッゴーワン, Columba Mcgowan Patrick, ロバータ・ラナーロ, Lanaro Roberta, アンドリュー・ジョン・ブラッカー, John Blacker Andrew",2015-12-18,2021-03-05,2021-07-01,,https://patents.google.com/patent/JP2021098722A/en,https://patentimages.storage.googleapis.com/ca/d0/08/93c5973455b69b/2021098722-68.png
JP-2012121798-A,Extraction process for reactive metal oxide ,"Univ Of Leeds, ザ  ユニヴァーシティ  オヴ  リーズ","Animesh Jha, ジャー，アニメシュ, Pailo Antony Malpan, マルパン，パイロ，アントニー, Tathavadkar Vilas Dattatray, タサヴァドカー，ヴィラス，ダッタトレイ",2003-06-16,2011-12-16,2012-06-28,,https://patents.google.com/patent/JP2012121798A/en,https://patentimages.storage.googleapis.com/29/6b/65/68e2c87522adcd/2012121798-7.png
JP-2011045753-A,Repair of damaged tissue ,"Univ Of Leeds, ユニバーシティ  オブ  リーズ","Bahaa Seedhom, シードム バハー, Kei Toyoda, 敬 豊田, Michael Pullan, プラン マイケル",1999-12-03,2010-11-05,2011-03-10,,https://patents.google.com/patent/JP2011045753A/en,https://patentimages.storage.googleapis.com/be/28/52/72cfe878d2efe2/2011045753-3.png
JP-2012232296-A,Apparatus and method for delivering medicine ,"Univ Of Leeds, ユニバーシティ  オブ  リーズ","Andrew Mcintosh, ムシントシュ アンドリュー, Novid Beheshti, ベヘシュティ ノビッド",2005-09-26,2012-06-06,2012-11-29,,https://patents.google.com/patent/JP2012232296A/en,https://patentimages.storage.googleapis.com/2f/1b/22/485e6983557ba5/2012232296-3.png
US-9447151-B2,Beta sheet tapes ribbons in tissue engineering ,The University Of Leeds,"Neville Boden, Amalia Aggeli, Eileen Ingham, Jennifer Kirkham",2002-07-15,2016-03-10,2016-09-20,2016-09-20,https://patents.google.com/patent/US9447151B2/en,https://patentimages.storage.googleapis.com/92/18/dc/9bdf4852e50cd7/US09447151-20160920-D00001.png
AU-2010227259-A1,Scaffold ,"Neotherix Limited, The University Of Bradford, University Of Leeds","Marcel De Matas, Peter Iddon, Michael Raxworthy, Simon Wood, Xuebin Yang",2009-03-23,2010-03-23,2011-11-10,,https://patents.google.com/patent/AU2010227259A1/en,
ES-2900822-T3,Laser system for imaging and analysis of materials and corresponding method ,"Univ Queensland, Univ Leeds Innovations Ltd","Aleksandar D Rakic, Paul Dean, Edmund Linfield, Karl Bertung, Yah Leng Lim, Stephen James Wilson, Dragan Indjin, Alexander Giles Davies, Thomas Taimre",2013-08-22,2014-08-22,2022-03-18,2022-03-18,https://patents.google.com/patent/ES2900822T3/en,
WO-2013190149-A1,Hybrid self-reinforced composite material ,"Katholieke Universiteit Leuven, KU LEUVEN R&D, University Of Leeds","Mark J. Bonner, Larissa GORBATIKH, Peter J. Hine, Yentl SWOLFS, Ignaas Verpoest, Ian M. Ward",2012-06-22,2013-06-24,2013-12-27,,https://patents.google.com/patent/WO2013190149A1/en,
GB-201706559-D0,Magnetometer for medical use ,Univ Leeds Innovations Ltd,,2016-04-25,2017-04-25,2017-06-07,,https://patents.google.com/patent/GB201706559D0/en,
